Constant,coho_salmon,chinook_salmon,chinook_juvenile,chinook_juvenile2,sockeye1,sockeye2,steelhead,steelhead_rr,pink,alewife_YOY,alewife_juvenile,alewife_adult,bloater chub,bluegull_juvenile,bluegill_adult,dace,generalized_coregonid_YOY,generalized_coregonid_juvenile,generalized_coregonid_adult,herring_juvenile,herring_adult,lake_trout,largemouth_bass,largemouth_bass2,larval_yellow_perch,muskellunge,mysis,nile_perch,northern_pike,sea_lamprey,smallmouth_bass,smelt_YOY,smelt_juvenile,smelt_adult,striped_bass_age-1,striped_bass_age-2,striped_bass_age-3,striped_bass_age-0,striped_bass-larvae,tilapia,walleye_adult,walley_juvenile,walleye_pollock_juvenile,walleye_pollock_adult,yellow_perch_juvenile,yellow_perch_adult,bluefish_YOY,bluefish_juvenile,bluefish_adult_age-0,weakfish_age-0,weakfish_age-1+
ConsEQ,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,1,2,2,2,2,3,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3
CA,0.303,0.303,0.338,0.303,0.303,0.303,0.628,0.628,0.303,0.8464,0.8464,0.8464,1.61,0.182,0.182,0.36,1.61,1.61,1.61,0.642,0.642,0.0589,0.33,0.33,0.51,0.2215,0.036,0.3,0.2045,0.3,0.25,0.18,0.18,0.18,0.3021,0.3021,0.3021,0.3021,0.48,0.15,0.25,0.45,0.34,0.3,0.25,0.25,0.597,0.597,0.597,0.492,0.492
CB,-0.275,-0.275,-0.275,-0.275,-0.275,-0.275,-0.3,-0.3,-0.275,-0.3,-0.3,-0.3,-0.538,-0.274,-0.274,-0.31,-0.32,-0.32,-0.32,-0.256,-0.256,-0.307,-0.325,-0.325,-0.42,-0.18,-0.372,-0.27,-0.18,-0.35,-0.31,-0.275,-0.275,-0.275,-0.2523,-0.2523,-0.2523,-0.2523,-0.252,-0.36,-0.27,-0.27,-0.5875,-0.5875,-0.27,-0.27,-0.288,-0.288,-0.288,-0.268,-0.268
CQ,5,5,4.97,4.97,3,3,5,3.5,3,5,4,3,3.53,2.3,2.3,2.3,3.53,3.53,3.53,1,1,0.1225,2.65,2.65,2.3,2.53,0,2.65,2.59,2.3,3.8,3,3,3,6.6,6.6,7.4,2.6,2.8615,2.5,2.3,2.3,6,3.5,2.3,2.3,10.2,10.2,10.2,14.87,14.8
CTO,15,15,20.93,20.93,20,20,20,25,20,24,20,16,16.8,31,27,26,16.8,16.8,16.8,15,13,,27.5,27.5,29,26,9,27.5,24,18,29,16,14,10,19,18,15,21.6,28.3,30,22,25,8,8,29,23,23,23,23,24.3,25
CTM,18,18,20.93,20.93,20,20,20,22.5,20,26,22,18,26,37,36,29,26,26,26,17,15,,37,37,32,34,11,38,34,25,36,21,16,12,28,29,28,22.7,31.3,37,28,28,15,15,32,28,28,28,28,24.3,25
CTL,24,24,24.05,24.05,24,24,24,24.3,24,29,27,25,,,,,,,,25,23,,,,,,16,,,,,26,18,18,30,32,30,28.3,,,,,,,,,32,32,32,27.7,29
CK1,0.36,0.36,0.09,0.36,0.58,0.58,0.33,0.2,0.58,0.17,0.17,0.17,,,,,,,,0.1,0.1,,,,,,0.5,,,,,0.4,0.4,0.4,0.262,0.255,0.323,0.047,,,,,,,,,0.156,0.156,0.156,0.0334,0.195
CK4,0.01,0.01,0.53,0.53,0.5,0.5,0.2,0.2,0.5,0.01,0.01,0.01,,,,,,,,0.01,0.01,,,,,,0.01,,,,,0.01,0.01,0.01,0.85,0.9,0.85,0.713,,,,,,,,,0.85,0.85,0.85,0.561,0.97
RespEQ,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1
