parameter,chinook,chinook1,chinook_orig,lmb,smb,coho,steelhead,rainbow,pink,sockeye
fish.shp,chin_spawn_7785,chin_spawn_7785,chin_spawn_2241,lmb_prevalent_750,,,,,,
spp.range,Chinook_rg,Chinook_rg,Chinook_rg,LMB_range,,,,,,
spawn.date.begin,x09-28,x09-11,x09-05,,,,,,,
om.date.taper,x06-01,x04-01,x04-01,,,,,,,
om.date.end,x07-10,x06-30,x06-30,,,,,,,
nStart,7785,7785,7785,750,,,,,,
nFish,2500,2500,2241,500,,,,,,
eggs.per.redd,5000,5000,,,,,,,,
corr.factor,1000,1000,1000,1000,,,,,,
nSpawnDays,32,59,58,,,,,,,
spawn.date.shape,0.75,0.75,0.75,,,,,,,
initial.mass,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
max.initial.mass,,,,4000,,,,,,
mass.shape,,,,3,,,,,,
ATU.crit,600,600,890,,,,,,,
mvdist.shape,1,1,1,0.75,,,,,,
mvmt.scalar,0.5,1,0.8,0.001,,,,,,
ration.lo,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02
ration.hi,0.21,0.21,0.21,0.15,0.15,0.21,0.21,0.21,0.21,0.21
max.density,50,50,50,50,,,,,,
prey.en.dens,3500,3000,3500,4500,4500,3000,3000,3000,3000,3000
pred.en.dens,5900,5900,5900,5000,5000,5900,5900,5900,5900,5900
om.mass,3,1.5,1.5,,,,,,,
survival.min,0.9875,0.9875,0.9875,0.9875,,,,,,
survival.max,0.9925,0.9925,0.9925,1,,,,,,
survival.shape,1,1,1,1,,,,,,
max.pred.prob,,,,0.4,,,,,,
pred.temp.crit,,,,10,,,,,,
pred.mass.crit,,,,0.125,,,,,,
pred.move,,,,0.075,,,,,,
pk.q.a,0.9975,0.9975,,,,,,,,
pk.q.b,-0.0446,-0.0446,,,,,,,,
pk.q.adj,0.1,0.1,,,,,,,,
ConsEQ,3,3,,2,2,3,3,3,3,3
CA,0.303,0.303,0.303,0.33,0.25,0.303,0.628,0.628,0.303,0.303
CB,-0.275,-0.275,-0.275,-0.325,-0.31,-0.275,-0.3,-0.3,-0.275,-0.275
CQ,3,3,4.97,2.65,3.8,5,5,3.5,3,3
CTO,20.93,20.93,20.93,27.5,29,15,20,25,20,20
CTM,20.93,20.93,20.93,37,36,18,20,22.5,20,20
CTL,24.05,24.05,24.05,,,24,24,24.3,24,24
CK1,0.36,0.36,0.36,,,0.36,0.33,0.2,0.58,0.58
CK4,0.53,0.53,0.53,,,0.01,0.2,0.2,0.5,0.5
RespEQ,1,1,1,1,2,1,1,2,1,1
RA,0.00264,0.00264,0.00264,0.00279,0.009,0.00264,0.00264,0.013,0.00143,0.00143
RB,-0.217,-0.217,-0.217,-0.355,-0.21,-0.217,-0.217,-0.217,-0.209,-0.209
RQ,0.06818,0.06818,0.06818,0.0811,3.3,0.06818,0.06818,2.2,0.086,0.086
RTO,0.0234,0.0234,0.0234,0.0196,30,0.0234,0.0234,22,0.0234,0.0234
RTM,0,0,0,0,37,0,0,26,0,0
RTL,25,25,25,0,,25,25,0,25,25
RK1,1,1,1,1,,1,1,0,1,1
RK4,0.13,0.13,0.13,0,,0.13,0.13,0.13,0.13,0.13
ACT,9.7,9.7,9.7,1,2,9.7,9.7,1.3,9.9,9.9
BACT,0.0405,0.0405,0.0405,0,,0.0405,0.0405,0.0405,0.0405,0.0405
SDA,0.172,0.172,0.172,0.163,0.16,0.172,0.172,0.172,0.172,0.172
ExcrEQ,3,3,3,1,1,3,3,3,3,3
FA,0.212,0.212,0.212,0.104,0.104,0.212,0.212,0.212,0.212,0.212
FB,-0.222,-0.222,-0.222,,,-0.222,-0.222,-0.222,-0.222,-0.222
FG,0.631,0.631,0.631,,,0.631,0.631,0.631,0.631,0.631
UA,0.0314,0.0314,0.0314,0.068,1.068,0.0314,0.0314,0.0314,0.0314,0.0314
UB,0.58,0.58,0.58,,,0.58,0.58,0.58,0.58,0.58
UG,-0.299,-0.299,-0.299,,,-0.299,-0.299,-0.299,-0.299,-0.299
