Month ,Variable,Period,GCM,Value
1,P,H,bcc-csm1-1-m,353.03
2,P,H,bcc-csm1-1-m,235.69
3,P,H,bcc-csm1-1-m,241.11
4,P,H,bcc-csm1-1-m,166.57
5,P,H,bcc-csm1-1-m,152.57
6,P,H,bcc-csm1-1-m,130.60
7,P,H,bcc-csm1-1-m,63.25
8,P,H,bcc-csm1-1-m,45.03
9,P,H,bcc-csm1-1-m,126.43
10,P,H,bcc-csm1-1-m,239.53
11,P,H,bcc-csm1-1-m,323.68
12,P,H,bcc-csm1-1-m,420.84
1,P,F,bcc-csm1-1-m,415.75
2,P,F,bcc-csm1-1-m,313.92
3,P,F,bcc-csm1-1-m,227.23
4,P,F,bcc-csm1-1-m,167.63
5,P,F,bcc-csm1-1-m,120.45
6,P,F,bcc-csm1-1-m,107.01
7,P,F,bcc-csm1-1-m,27.71
8,P,F,bcc-csm1-1-m,47.39
9,P,F,bcc-csm1-1-m,142.27
10,P,F,bcc-csm1-1-m,240.93
11,P,F,bcc-csm1-1-m,392.16
12,P,F,bcc-csm1-1-m,339.28
1,T,H,bcc-csm1-1-m,-0.26
2,T,H,bcc-csm1-1-m,2.44
3,T,H,bcc-csm1-1-m,3.80
4,T,H,bcc-csm1-1-m,7.12
5,T,H,bcc-csm1-1-m,9.82
6,T,H,bcc-csm1-1-m,13.23
7,T,H,bcc-csm1-1-m,16.10
8,T,H,bcc-csm1-1-m,16.32
9,T,H,bcc-csm1-1-m,14.18
10,T,H,bcc-csm1-1-m,8.59
11,T,H,bcc-csm1-1-m,2.85
12,T,H,bcc-csm1-1-m,1.52
1,T,F,bcc-csm1-1-m,4.73
2,T,F,bcc-csm1-1-m,5.64
3,T,F,bcc-csm1-1-m,8.27
4,T,F,bcc-csm1-1-m,9.91
5,T,F,bcc-csm1-1-m,13.99
6,T,F,bcc-csm1-1-m,16.59
7,T,F,bcc-csm1-1-m,22.48
8,T,F,bcc-csm1-1-m,21.95
9,T,F,bcc-csm1-1-m,17.58
10,T,F,bcc-csm1-1-m,13.06
11,T,F,bcc-csm1-1-m,6.95
12,T,F,bcc-csm1-1-m,4.97
1,P,H,CanESM2,293.49
2,P,H,CanESM2,250.89
3,P,H,CanESM2,306.06
4,P,H,CanESM2,204.78
5,P,H,CanESM2,126.33
6,P,H,CanESM2,122.02
7,P,H,CanESM2,51.20
8,P,H,CanESM2,51.33
9,P,H,CanESM2,137.86
10,P,H,CanESM2,200.75
11,P,H,CanESM2,349.18
12,P,H,CanESM2,336.72
1,P,F,CanESM2,435.88
2,P,F,CanESM2,312.30
3,P,F,CanESM2,257.28
4,P,F,CanESM2,227.68
5,P,F,CanESM2,181.26
6,P,F,CanESM2,101.98
7,P,F,CanESM2,33.35
8,P,F,CanESM2,19.64
9,P,F,CanESM2,52.75
10,P,F,CanESM2,206.54
11,P,F,CanESM2,438.60
12,P,F,CanESM2,336.32
1,T,H,CanESM2,1.56
2,T,H,CanESM2,3.39
3,T,H,CanESM2,3.78
4,T,H,CanESM2,6.35
5,T,H,CanESM2,9.99
6,T,H,CanESM2,13.00
7,T,H,CanESM2,16.59
8,T,H,CanESM2,17.18
9,T,H,CanESM2,13.59
10,T,H,CanESM2,8.54
11,T,H,CanESM2,3.55
12,T,H,CanESM2,1.30
1,T,F,CanESM2,6.55
2,T,F,CanESM2,7.43
3,T,F,CanESM2,9.99
4,T,F,CanESM2,10.98
5,T,F,CanESM2,13.71
6,T,F,CanESM2,20.18
7,T,F,CanESM2,26.73
8,T,F,CanESM2,25.76
9,T,F,CanESM2,21.94
10,T,F,CanESM2,15.08
11,T,F,CanESM2,8.97
12,T,F,CanESM2,5.58
1,P,H,CCSM4,370.49
2,P,H,CCSM4,256.48
3,P,H,CCSM4,203.47
4,P,H,CCSM4,189.86
5,P,H,CCSM4,155.18
6,P,H,CCSM4,116.78
7,P,H,CCSM4,57.11
8,P,H,CCSM4,52.75
9,P,H,CCSM4,103.76
10,P,H,CCSM4,239.37
11,P,H,CCSM4,365.36
12,P,H,CCSM4,340.62
1,P,F,CCSM4,453.39
2,P,F,CCSM4,244.87
3,P,F,CCSM4,316.20
4,P,F,CCSM4,185.34
5,P,F,CCSM4,134.53
6,P,F,CCSM4,115.89
7,P,F,CCSM4,28.95
8,P,F,CCSM4,42.95
9,P,F,CCSM4,101.96
10,P,F,CCSM4,269.74
11,P,F,CCSM4,398.34
12,P,F,CCSM4,417.59
1,T,H,CCSM4,0.21
2,T,H,CCSM4,0.96
3,T,H,CCSM4,4.03
4,T,H,CCSM4,6.75
5,T,H,CCSM4,9.81
6,T,H,CCSM4,13.32
7,T,H,CCSM4,16.59
8,T,H,CCSM4,16.41
9,T,H,CCSM4,13.81
10,T,H,CCSM4,8.45
11,T,H,CCSM4,3.83
12,T,H,CCSM4,2.33
1,T,F,CCSM4,5.69
