"Date","Time","bcc-csm1-1-m","CanESM2","CCSM4","CNRM-CM5","CSIRO-Mk3-6-0","HadGEM2-CC365","HadGEM2-ES365","IPSL-CM5A-MR","MIROC5","NorESM1-M"
2088-10-01,0,91.825645,17.414774,14.981102,29.402445,9.535356,49.16312,7.956716,9.330141,7.386029,91.825645
2088-10-01,3,91.528389,17.612038,15.200833,33.328465,9.746951,52.164185,8.013709,9.482432,7.495313,91.528389
2088-10-01,6,90.067062,17.557079,15.185184,34.975544,9.769812,53.545769,8.088078,9.418946,7.415989,90.067062
2088-10-01,9,86.559479,16.962505,14.607083,35.723408,9.430702,54.411469,7.921598,9.02034,7.101309,86.559479
2088-10-01,12,74.721634,15.145219,13.34941,35.271912,8.997331,55.040955,7.615466,8.367223,6.771882,74.721634
2088-10-01,15,74.978149,15.821692,13.743831,34.925819,8.811016,55.401817,7.286646,8.287175,6.584537,74.978149
2088-10-01,18,70.840729,16.300417,14.266395,35.860046,9.161042,56.917126,7.515881,8.55055,6.82828,70.840729
2088-10-01,21,75.005989,16.844551,14.706304,37.172482,9.518901,58.261402,7.787083,8.919697,7.039809,75.005989
2088-10-02,0,74.903267,16.953638,14.841749,42.160126,10.315305,71.423752,8.096194,9.057132,7.515858,74.903267
2088-10-02,3,75.419662,17.153355,14.988818,44.883549,11.528937,76.951622,8.427908,9.229744,7.782712,75.419662
2088-10-02,6,74.910881,17.119892,14.997375,46.699802,12.973614,81.161247,8.775265,9.280769,8.21812,74.910881
2088-10-02,9,72.73613,16.459812,14.284754,48.07111,13.349269,85.140717,8.886036,8.921256,8.109109,72.73613
2088-10-02,12,65.031723,14.79356,13.203897,48.309456,12.983181,87.871796,8.70134,8.344378,7.621603,65.031723
2088-10-02,15,65.603546,15.38035,13.052514,49.002029,12.828959,90.798485,8.574062,8.400755,7.57283,65.603546
2088-10-02,18,62.874393,15.876904,13.271898,50.672253,13.240512,94.40554,8.759207,8.749031,7.71834,62.874393
2088-10-02,21,66.004013,16.444668,14.102503,52.748077,13.893311,98.597595,9.044609,9.020194,8.038898,66.004013
2088-10-03,0,65.866875,18.589277,14.270209,42.269218,20.766775,116.073631,8.699657,9.160495,8.335988,65.866875
2088-10-03,3,66.351677,24.667067,14.542817,39.917229,23.62962,127.196159,8.719067,9.24846,8.854547,66.351677
2088-10-03,6,65.65461,27.341629,14.553857,38.981602,26.099291,136.811722,8.780866,9.303793,9.182323,65.65461
2088-10-03,9,64.148346,28.368605,14.094348,37.900436,27.73448,145.858276,8.563315,8.951502,9.169935,64.148346
2088-10-03,12,58.59034,26.010864,12.75785,36.762444,28.778856,153.628189,8.239957,8.594622,8.987336,58.59034
2088-10-03,15,59.973732,25.77957,13.1761,36.002613,29.793314,162.218536,7.912056,8.575892,8.865137,59.973732
2088-10-03,18,59.832443,26.713404,13.533256,35.655392,31.515049,171.087173,8.067385,8.972772,9.105772,59.832443
2088-10-03,21,60.850693,28.328058,14.127275,35.471012,33.553921,181.083603,8.259859,9.141111,9.434866,60.850693
2088-10-04,0,60.410435,25.685932,14.330145,34.959549,61.213531,155.219513,8.350936,9.327231,8.750844,60.410435
2088-10-04,3,60.518147,26.152496,14.580363,34.589439,71.804733,143.081329,8.357957,9.45667,8.601754,60.518147
2088-10-04,6,59.871429,27.586306,14.661973,34.157341,82.472115,136.42189,8.391623,9.533879,8.56826,59.871429
2088-10-04,9,58.535679,27.628967,14.302732,33.611607,91.394897,130.67482,8.163537,9.374481,8.483921,58.535679
2088-10-04,12,54.465843,26.74119,13.256321,32.733074,96.639824,121.678383,7.814936,9.261587,8.323367,54.465843
2088-10-04,15,54.934509,26.002951,13.030889,30.685799,105.929939,114.335037,7.827831,9.109785,8.339087,54.934509
2088-10-04,18,54.365601,26.146433,12.9768,31.045757,117.00515,109.945404,7.991287,9.340411,8.407457,54.365601
2088-10-04,21,55.605995,27.031918,13.90026,31.230871,128.060989,108.115196,8.182147,9.521425,8.471071,55.605995
2088-10-05,0,55.179203,30.640934,14.019281,38.493504,229.768005,102.223412,8.696514,19.880102,11.553571,55.179203
2088-10-05,3,55.467304,32.708382,14.221745,46.797783,285.652954,98.64505,9.512782,26.659092,13.508688,55.467304
2088-10-05,6,54.69405,34.013554,14.261157,50.916321,339.139221,95.135559,10.211223,32.383041,14.406143,54.69405
2088-10-05,9,53.367939,34.072205,13.810194,53.573784,395.054688,91.957146,10.416006,36.74202,14.959974,53.367939
2088-10-05,12,47.899963,32.549442,12.536345,53.977322,453.203186,86.61235,10.249557,39.615654,15.195992,47.899963
2088-10-05,15,49.492188,31.470058,12.955311,54.67136,519.377686,84.5438,10.371415,42.436256,15.693879,49.492188
2088-10-05,18,49.523899,31.879095,13.205302,56.579498,597.582581,81.205963,10.880471,46.455555,16.513136,49.523899
2088-10-05,21,50.967701,33.371777,13.804997,59.146561,687.193176,80.857918,11.263245,51.22467,17.495293,50.967701
2088-10-06,0,51.040985,53.569347,13.948219,92.4944,653.514587,79.385918,15.899538,59.467842,14.742042,51.040985
2088-10-06,3,51.634224,61.448013,14.097703,107.435234,636.499146,78.210381,17.590504,65.674629,14.46727,51.634224
2088-10-06,6,51.664635,68.049767,14.043302,119.900986,643.141052,76.565163,19.153292,72.705727,14.636044,51.664635
2088-10-06,9,51.765163,72.151093,13.414199,130.583817,649.682556,74.311432,20.00676,77.436783,14.519643,51.765163
2088-10-06,12,51.223965,73.482346,12.090725,138.363144,648.133911,68.234222,19.910387,81.276398,14.105159,51.223965
2088-10-06,15,50.461823,75.69416,12.146702,147.273026,644.0625,67.996391,20.010305,85.322563,14.032002,50.461823
2088-10-06,18,50.258888,79.771942,12.353886,158.435623,636.644775,66.324219,21.14048,91.060089,14.672872,50.258888
2088-10-06,21,50.769886,84.972641,13.071491,171.838699,630.078064,67.073784,22.790493,98.552544,15.133879,50.769886
2088-10-07,0,51.350948,72.870346,13.314083,174.127289,691.772339,66.478989,21.245159,80.019623,14.476414,51.350948
2088-10-07,3,51.951599,71.564583,13.550463,183.040039,756.781677,66.062248,20.940718,79.485199,14.050672,51.951599
2088-10-07,6,52.391987,73.184067,13.575984,194.039062,815.483215,64.885201,22.339302,80.966713,14.429218,52.391987
2088-10-07,9,52.629402,73.622726,12.986272,203.235214,869.633545,63.110641,21.660669,81.519302,14.027687,52.629402
2088-10-07,12,51.695545,73.181374,11.92606,208.820511,913.750305,57.006298,19.569288,79.494354,13.272501,51.695545
