"Date","Time","bcc-csm1-1-m","CanESM2","CCSM4","CNRM-CM5","CSIRO-Mk3-6-0","HadGEM2-CC365","HadGEM2-ES365","IPSL-CM5A-MR","MIROC5","NorESM1-M"
2088-10-01,0,15.13,21.02,21.52,13.17,23.5,20.82,22.42,21.42,21.04,15.13
2088-10-01,3,15.1,20.85,21.32,12.83,23.44,20.68,22.23,21.25,20.83,15.1
2088-10-01,6,14.96,20.53,21.11,12.55,23.31,20.57,22.12,20.99,20.44,14.96
2088-10-01,9,14.87,20.39,20.95,12.51,23.05,20.44,22.04,20.75,20.21,14.87
2088-10-01,12,15.35,21.02,21.28,12.53,22.92,20.48,21.92,21.14,20.58,15.35
2088-10-01,15,15.83,21.66,21.93,12.51,22.95,20.39,21.66,21.6,21.02,15.83
2088-10-01,18,16.14,21.65,22.03,12.62,22.89,20.25,21.42,21.65,20.89,16.14
2088-10-01,21,16.19,21.65,22.15,12.69,22.7,20.19,21.34,21.32,20.56,16.19
2088-10-02,0,16.22,21.74,22.24,12.58,22.51,20.17,21.17,21.13,20.5,16.22
2088-10-02,3,16.08,21.57,21.9,12.28,22.37,20.04,21.03,21.05,20.22,16.08
2088-10-02,6,15.98,21.25,21.5,11.99,22.33,19.87,20.95,20.91,19.85,15.98
2088-10-02,9,15.96,21.01,21.15,11.89,22.19,19.74,20.98,20.76,19.62,15.96
2088-10-02,12,16.26,21.44,21.08,11.98,22.1,19.71,20.91,21.17,19.54,16.26
2088-10-02,15,16.69,21.92,21.26,12.11,22.04,19.57,20.69,21.57,19.44,16.69
2088-10-02,18,17.02,21.87,21.19,11.97,21.96,19.28,20.6,21.61,19.21,17.02
2088-10-02,21,17.12,21.83,21.13,11.81,21.88,19.02,20.55,21.38,19.04,17.12
2088-10-03,0,17.04,21.82,21.04,11.75,21.89,19.15,20.42,21.28,18.78,17.04
2088-10-03,3,16.96,21.53,20.77,11.66,21.94,19.1,20.28,21.22,18.58,16.96
2088-10-03,6,16.81,21.09,20.25,11.6,21.46,19.04,20.22,21.13,18.48,16.81
2088-10-03,9,16.83,20.79,19.74,11.56,21.11,18.98,20.1,20.99,18.41,16.83
2088-10-03,12,17.19,20.78,19.72,11.7,21.1,18.9,19.82,21.32,18.16,17.19
2088-10-03,15,17.55,20.83,19.92,11.81,20.99,18.9,19.56,21.64,17.79,17.55
2088-10-03,18,17.57,20.72,19.74,12,20.91,18.9,19.37,21.7,17.68,17.57
2088-10-03,21,17.7,20.54,19.65,12.06,20.87,18.86,19.22,21.52,17.54,17.7
2088-10-04,0,17.67,20.39,19.62,12.09,20.8,18.63,19.04,21.47,17.34,17.67
2088-10-04,3,17.66,20.19,19.28,11.78,20.24,18.42,18.92,21.34,17.27,17.66
2088-10-04,6,17.6,20.18,18.71,11.43,19.83,18.18,18.89,21.18,17.28,17.6
2088-10-04,9,17.44,20.01,18.09,11.27,19.45,18.03,18.92,20.92,17.3,17.44
2088-10-04,12,17.61,19.88,18.03,11.36,19.28,17.94,19.26,20.94,17.28,17.61
2088-10-04,15,17.99,19.74,18.21,11.59,18.97,17.83,19.63,21.07,17.19,17.99
2088-10-04,18,17.99,19.59,17.96,11.69,18.84,17.77,19.78,20.98,17.07,17.99
2088-10-04,21,17.88,19.32,17.81,11.83,18.76,17.64,19.73,20.78,17.02,17.88
2088-10-05,0,17.74,19.2,17.71,11.84,18.7,17.42,19.73,20.62,16.98,17.74
2088-10-05,3,17.7,18.99,17.49,11.73,18.52,17.23,19.81,20.53,17,17.7
2088-10-05,6,17.65,18.83,17.08,11.57,18.44,17.13,19.85,20.07,17.07,17.65
2088-10-05,9,17.75,18.62,16.64,11.47,18.32,17.01,19.82,19.5,16.92,17.75
2088-10-05,12,18.07,18.54,16.74,11.47,18.25,17.2,19.83,19.59,16.67,18.07
2088-10-05,15,18.32,18.55,17.16,11.56,18.13,17.36,19.79,19.34,16.67,18.32
2088-10-05,18,18.36,18.64,17.05,11.57,17.92,17.48,19.88,19.3,16.65,18.36
2088-10-05,21,18.23,18.63,17.01,11.57,17.92,17.41,19.92,18.95,16.64,18.23
2088-10-06,0,18.06,18.47,17.1,11.59,17.74,17.26,19.85,18.57,16.66,18.06
2088-10-06,3,18.06,18.09,16.89,11.57,17.62,17.02,19.9,18.58,16.67,18.06
2088-10-06,6,17.94,17.84,16.53,11.5,17.32,16.87,19.54,18.43,16.62,17.94
2088-10-06,9,17.77,17.65,16.16,11.48,16.99,16.86,19.16,18.12,16.39,17.77
2088-10-06,12,17.78,17.52,16.53,11.43,16.92,17.16,19.31,18.12,16.45,17.78
2088-10-06,15,17.91,17.57,17.3,11.47,16.62,17.52,19.41,17.88,16.64,17.91
2088-10-06,18,17.76,17.64,17.27,11.33,16.75,17.4,19.34,17.89,16.68,17.76
2088-10-06,21,17.68,17.46,17.36,11.37,16.35,17.34,19.35,17.42,16.74,17.68
2088-10-07,0,17.5,17.23,17.41,11.33,16.35,17.35,19.28,17.25,16.79,17.5
2088-10-07,3,17.45,17.07,17.18,11.34,16.01,17.35,18.83,17.28,16.75,17.45
2088-10-07,6,17.43,16.83,17,11.23,15.9,17.04,18.11,16.96,16.44,17.43
2088-10-07,9,17.29,16.69,16.77,11.2,15.8,16.91,17.52,16.92,16.04,17.29
2088-10-07,12,17.24,16.55,16.85,11.23,15.64,17.19,17.3,16.74,15.99,17.24
2088-10-07,15,17.18,16.49,17.28,11.23,15.66,16.91,17.16,16.72,16.1,17.18
2088-10-07,18,17.27,16.47,17.31,11.21,15.36,17.12,16.89,16.72,16.05,17.27
2088-10-07,21,17.12,16.28,17.36,11.17,15.27,17.04,16.68,16.58,15.99,17.12
2088-10-08,0,17.02,16.02,17.38,11.26,15.12,17.01,16.45,16.38,15.98,17.02
2088-10-08,3,16.83,15.9,17.16,11.36,14.9,17.1,16.1,16.15,15.87,16.83
2088-10-08,6,16.74,15.82,16.92,11.27,14.73,16.83,15.68,16.03,15.53,16.74
2088-10-08,9,16.78,15.72,16.44,11.1,14.64,16.81,15.47,15.82,15.27,16.78
2088-10-08,12,16.98,15.95,16.42,11.08,14.53,16.9,15.56,15.75,15.33,16.98
2088-10-08,15,17.09,16.13,16.35,11.03,14.47,17.35,15.67,15.78,15.5,17.09
2088-10-08,18,17.09,16.21,16.28,10.97,14.37,17.28,15.63,15.61,15.49,17.09
2088-10-08,21,16.97,16.18,16.32,10.95,14.24,17.25,15.66,15.51,15.45,16.97
2088-10-09,0,16.85,16.13,16.36,10.91,14.07,16.97,15.54,15.5,15.46,16.85
2088-10-09,3,16.88,15.98,15.95,10.82,13.94,17.02,15.37,15.18,15.45,16.88
2088-10-09,6,16.94,15.92,15.77,10.66,13.76,16.89,15.29,14.98,15.07,16.94
2088-10-09,9,16.97,15.79,15.71,10.65,13.72,16.8,15.04,14.74,15.02,16.97
2088-10-09,12,17.37,16.12,15.64,10.72,13.66,16.86,15.09,14.64,15.1,17.37
2088-10-09,15,17.68,16.42,15.48,10.72,13.62,16.81,15.2,14.51,15.17,17.68
2088-10-09,18,17.96,16.43,15.36,10.7,13.52,16.71,15.16,14.51,15.28,17.96
2088-10-09,21,18.02,16.48,15,10.68,13.49,16.5,14.98,14.45,15.21,18.02
2088-10-10,0,17.96,16.43,14.86,10.66,13.36,16.31,14.75,14.32,14.87,17.96
2088-10-10,3,17.82,16.37,14.87,10.57,13.27,16.4,14.62,14.13,15.08,17.82
2088-10-10,6,17.62,16.27,14.65,10.47,12.98,16.44,14.67,13.97,15.09,17.62
2088-10-10,9,17.6,16.2,14.39,10.43,13.09,16.35,14.65,13.85,14.96,17.6
2088-10-10,12,17.97,16.51,14.46,10.59,13.11,16.37,15.02,13.78,14.88,17.97
2088-10-10,15,18.24,16.83,14.4,10.68,12.78,16.46,15.49,13.65,14.88,18.24
2088-10-10,18,18.48,17.1,14.27,10.7,12.95,16.5,15.52,13.6,14.97,18.48
2088-10-10,21,18.61,17.24,14.2,10.6,12.85,16.48,15.69,13.59,15.05,18.61
2088-10-11,0,18.52,17.26,14.09,10.6,12.52,16.22,15.71,13.44,14.97,18.52
2088-10-11,3,18.36,17.11,13.87,10.69,12.79,16.1,15.47,13.24,14.55,18.36
2088-10-11,6,18.1,16.93,13.76,10.64,12.68,15.91,15.18,12.88,14.6,18.1
2088-10-11,9,17.9,16.9,13.78,10.64,12.6,15.79,14.93,12.79,14.47,17.9
2088-10-11,12,18.09,17.19,13.78,10.64,12.59,15.82,14.93,12.66,14.39,18.09
2088-10-11,15,18.33,17.52,13.78,10.65,12.67,15.74,15.01,12.54,14.43,18.33
2088-10-11,18,18.53,17.64,13.92,10.74,12.75,15.7,14.91,12.44,14.33,18.53
2088-10-11,21,18.68,17.79,13.91,10.73,12.62,15.72,14.95,12.39,14.3,18.68
2088-10-12,0,18.71,17.83,13.71,10.66,12.33,15.61,14.93,12.32,14.16,18.71
2088-10-12,3,18.63,17.67,13.65,10.72,12.36,15.49,14.59,12.22,14.11,18.63
2088-10-12,6,18.4,17.5,13.55,10.76,12.4,15.37,14.07,12.19,14.03,18.4
2088-10-12,9,18.16,17.46,13.56,10.76,12.35,15.28,13.64,12.09,13.94,18.16
2088-10-12,12,18.09,17.69,13.52,10.84,12.37,15.36,13.65,12.06,13.85,18.09
2088-10-12,15,18.12,18,13.53,10.98,12.03,15.44,13.7,12.11,13.77,18.12
2088-10-12,18,18.16,18.05,13.61,11.04,12.29,15.6,13.59,12.05,13.61,18.16
2088-10-12,21,18.26,18.17,13.57,10.91,12.34,15.64,13.53,12.11,13.58,18.26
2088-10-13,0,18.16,18.14,13.59,10.82,12.36,15.43,13.53,12.09,13.67,18.16
2088-10-13,3,17.84,18.01,13.5,10.82,12.36,15.32,13.26,11.9,13.74,17.84
2088-10-13,6,17.69,17.88,13.43,10.91,12.03,15.37,12.77,11.93,13.68,17.69
2088-10-13,9,17.48,17.85,13.41,10.92,12.29,15.32,12.58,11.93,13.63,17.48
2088-10-13,12,17.44,18.03,13.41,10.92,12.31,15.36,12.95,12.09,13.66,17.44
2088-10-13,15,17.57,18.17,13.5,11.08,12.17,15.49,13.36,11.88,13.74,17.57
2088-10-13,18,17.64,18.16,13.6,11.11,12.34,15.69,13.31,11.81,13.87,17.64
2088-10-13,21,17.61,18.12,13.56,11.11,12.21,15.62,13.34,12.25,13.84,17.61
2088-10-14,0,17.38,18.02,13.53,11.12,12.24,15.42,13.15,12.16,13.73,17.38
2088-10-14,3,17.05,17.95,13.42,11.13,12.19,15.26,12.96,12.19,13.55,17.05
2088-10-14,6,16.89,17.91,13.33,11.16,12.08,15.23,12.78,12.19,13.48,16.89
2088-10-14,9,16.69,17.9,13.27,11.17,12.12,15.24,12.71,12.17,13.43,16.69
2088-10-14,12,16.54,17.94,13.26,11.22,12.25,15.28,13.25,12.41,13.51,16.54
2088-10-14,15,16.73,18.02,13.31,11.13,12.37,15.41,13.68,12.48,13.61,16.73
2088-10-14,18,16.69,18.03,13.29,11.26,12.23,15.55,13.61,12.45,13.72,16.69
2088-10-14,21,16.65,17.92,13.19,11.23,12.5,15.52,13.67,12.48,13.69,16.65
2088-10-15,0,16.44,17.71,12.93,11.24,12.52,15.48,13.56,12.47,13.49,16.44
2088-10-15,3,16.36,17.92,12.94,11.16,12.44,15.46,13.42,12.55,13.32,16.36
2088-10-15,6,16.19,17.83,12.79,11.13,12.39,15.42,13.19,12.49,13.15,16.19
2088-10-15,9,16.25,17.75,12.78,11.18,12.45,15.44,13.06,12.37,13.01,16.25
2088-10-15,12,16.24,17.77,12.8,11.2,12.62,15.4,13.58,12.66,13.08,16.24
2088-10-15,15,16.2,17.81,12.89,11.21,12.64,15.43,14,12.82,13.14,16.2
2088-10-15,18,16.25,17.72,12.92,11.26,12.56,15.47,13.93,12.97,13.13,16.25
2088-10-15,21,16.26,17.67,12.88,11.33,12.46,15.46,14,12.94,13.13,16.26
2088-10-16,0,16.09,17.64,12.83,11.31,12.44,15.45,13.92,12.96,13.08,16.09
2088-10-16,3,16.04,17.48,12.7,11.32,12.37,15.37,13.69,12.99,12.98,16.04
2088-10-16,6,15.95,17.36,12.63,11.26,12.43,15.36,13.36,12.95,12.96,15.95
2088-10-16,9,15.89,17.18,12.58,11.25,12.23,15.22,13.15,12.87,12.98,15.89
2088-10-16,12,15.91,17.14,12.57,11.32,12.41,15.28,13.56,13.23,13.17,15.91
2088-10-16,15,15.95,17.17,12.61,11.21,12.36,15.42,13.97,13.17,13.5,15.95
2088-10-16,18,15.93,17.23,12.59,11.52,12.46,15.09,13.88,13.29,13.52,15.93
2088-10-16,21,15.82,17.26,12.45,11.57,12.4,15.26,13.89,13.22,13.43,15.82
2088-10-17,0,15.62,17.2,12.33,11.45,12.28,15.3,13.84,13.2,13.4,15.62
2088-10-17,3,15.49,17.06,12.3,11.46,12.31,15.23,13.77,13.05,13.28,15.49
2088-10-17,6,15.32,16.93,12.17,11.45,12.12,15.11,13.6,12.9,13.41,15.32
2088-10-17,9,15.15,16.79,12.08,11.63,12.13,15.12,13.4,12.89,13.31,15.15
2088-10-17,12,15.14,16.77,12,11.74,11.98,15.3,13.7,13.06,13.35,15.14
2088-10-17,15,15.17,16.86,11.96,11.92,12.11,15.38,14.14,13.18,13.52,15.17
