FID,OBJECTID,arcid,grid_code,from_node,to_node,Shape_Leng,local,downarc,SELEV,EELEV,MAXGRID,uparc,dz,slope,meanmsq,segorder,chanclass,hyddepth,hydwidth,effwidth,effdepth,MIN_SOILDE,segdepth,CHIN,Chin_Use,COHO,Coho_Use,STHD,Sthd_Use,PINK,Pink_Use,LMB,WAC173201A
0,1,1,1,2,1,1823.528137,126,-1,9.9214296,7,78441,3,2.9214301,0.0016021,1766339968,89,6,4.5,0.03,0.21,2.01267,2.118599176,2.1185999,1,2,1,2,1,2,1,1,1,1
1,2,2,2,3,2,3985.660172,181,1,153.5460052,9.9214296,42,-1,143.625,0.0360354,2025000,1,8,1,0.05,0.15,1.77847,2.033065557,1.87207,1,1,1,1,1,1,1,1,1,1
2,3,3,3,5,2,574.2640687,23,1,10.1914997,9.9214296,78241,7,0.270031,0.0004702,1760669952,88,6,4.5,0.03,0.21,2.54738,2.681455612,2.6814599,1,2,1,2,1,3,1,1,1,1
3,4,4,6,6,5,918.1980515,86,3,10.3817997,10.1914997,4,-1,0.19029,0.0002072,967500,1,1,0.5,0.03,0.06,2.51931,2.651908398,2.6519101,1,1,1,1,1,1,0,0,1,1
4,5,5,8,8,7,225,50,9,246.9700012,220.4450073,42,-1,26.5259991,0.117893,562500,1,13,0.5,0.1,0.2,1.80009,1.90055275,1.89483,0,0,0,0,0,0,0,0,0,1
5,6,6,9,9,7,887.1320344,60,9,304.7290039,220.4450073,44,-1,84.2844009,0.0950077,675000,1,7,0.5,0.05,0.1,1.71788,1.892829895,1.8083,0,0,0,0,0,0,0,0,0,1
6,7,7,5,11,5,1598.528137,129,3,10.2273998,10.1914997,78029,10,0.03594,0.0000225,1757090048,87,6,4.5,0.03,0.21,2.1512599,2.422194719,2.2644801,1,2,1,2,1,3,1,1,1,1
7,8,8,10,10,12,225,49,11,13.0712004,10.5876999,44,-1,2.4835701,0.0110381,540000,1,7,0.5,0.05,0.1,2.0669999,2.175787687,2.1757901,0,0,0,0,0,0,0,0,0,1
8,9,9,7,7,12,2809.188309,160,11,220.4450073,10.5876999,109,6,209.8569946,0.0747037,4252500,2,8,1,0.05,0.15,1.71466,1.804908872,1.8049099,0,0,1,3,0,0,0,0,0,1
9,10,10,14,14,11,212.1320344,1,7,10.2273998,10.2273998,77913,12,0,0.00001,1753040000,86,6,4.5,0.03,0.21,2.6846299,2.825923681,2.8259201,1,2,1,2,1,3,1,1,1,1
10,11,11,11,12,14,1200,25,10,10.5876999,10.2273998,318,9,0.36027,0.0003002,7425000,3,2,1,0.03,0.09,2.23122,2.348654747,2.34865,1,1,1,3,1,3,0,0,1,1
11,12,12,17,16,14,212.1320344,1,10,10.2273998,10.2273998,77514,25,0,0.00001,1744070016,85,6,4.5,0.03,0.21,2.7618401,2.907204866,2.9072001,1,2,1,2,1,3,1,1,1,1
12,13,13,12,13,17,1311.396103,96,46,320.5450134,299.7990112,51,-1,20.7465,0.0158202,1080000,1,8,1,0.05,0.15,1.90276,2.046231985,2.0029099,0,0,0,0,0,0,0,0,0,2
13,14,14,15,15,17,437.1320344,53,46,308.4549866,299.7990112,46,-1,8.6562996,0.0198025,585000,1,7,0.5,0.05,0.1,1.94392,2.046231985,2.0462301,0,0,0,0,0,0,0,0,0,2
14,15,15,13,20,11,2061.396103,109,7,105.5810013,10.2273998,50,-1,95.3532028,0.0462566,1215000,1,8,1,0.05,0.15,1.8489,1.997333169,1.94621,1,1,1,2,0,0,0,0,1,1
15,16,16,22,19,16,3189.518395,187,12,175.1900024,10.2273998,4,-1,164.9629974,0.0517202,2092500,1,8,1,0.05,0.15,1.7314399,1.822567463,1.82257,1,1,1,1,1,1,1,1,1,1
16,17,17,16,21,14,1425,54,10,10.2273998,10.2273998,44,-1,0,0.00001,607500,1,1,0.5,0.03,0.06,2.7311499,2.879212856,2.8748901,1,1,1,2,1,1,0,0,1,1
17,18,18,26,25,26,150,48,-1,127.5080032,127.5080032,47,-1,0,0.00001,540000,1,1,0.5,0.03,0.06,2.1094999,2.220527172,2.22053,0,0,0,0,0,0,0,0,0,1
18,19,19,19,27,16,1847.056275,130,12,10.2273998,10.2273998,3839,27,0,0.00001,87840000,15,6,4.5,0.03,0.21,2.63782,2.827130556,2.77665,1,2,1,2,1,2,1,1,1,2
19,20,20,21,18,29,1585.660172,99,29,253.2630005,126.9779968,20,-1,126.2850037,0.0796418,1102500,1,8,1,0.05,0.15,1.77355,1.919015288,1.86689,0,0,0,0,0,0,0,0,0,2
20,21,21,33,32,31,1350,85,-1,756.6010132,497.5429993,42,-1,259.0580139,0.191895,945000,1,13,0.5,0.1,0.2,1.20479,1.268194914,1.26819,0,0,0,0,0,0,0,0,0,3
21,22,22,34,33,34,150,51,-1,838.0180054,832.6339722,2,-1,5.3839998,0.0358933,562500,1,7,0.5,0.05,0.1,1.72771,1.818647027,1.81865,0,0,0,0,0,0,0,0,0,3
