"rid", "binaryID"
0,1
1,10
2,11
3,110
6,111
9,1110
14,1111
10,11100
809,11101
7,111000
8,111001
11,111010
16,111011
4,1110010
5,1110011
15,1110100
808,1110101
17,11101010
21,11101011
23,111010100
31,111010101
28,111010110
74,111010111
29,1110101000
32,1110101001
84,1110101110
121,1110101111
35,11101010010
39,11101010011
83,11101011100
807,11101011101
55,111010100100
68,111010100101
33,111010111000
34,111010111001
82,111010111010
95,111010111011
69,1110101001010
75,1110101001011
99,1110101110110
125,1110101110111
56,11101010010100
65,11101010010101
87,11101010010110
91,11101010010111
98,11101011101100
102,11101011101101
126,11101011101110
130,11101011101111
40,111010100101010
41,111010100101011
78,111010100101100
92,111010100101101
108,111010100101110
111,111010100101111
131,111010111011110
144,111010111011111
12,1110101001010110
13,1110101001010111
70,1110101001011000
71,1110101001011001
93,1110101001011010
103,1110101001011011
154,1110101110111110
156,1110101110111111
66,11101010010110010
85,11101010010110011
176,11101011101111110
192,11101011101111111
24,111010100101100100
25,111010100101100101
86,111010100101100110
88,111010100101100111
191,111010111011111110
200,111010111011111111
18,1110101001011001010
22,1110101001011001011
201,1110101110111111110
204,1110101110111111111
30,11101010010110010110
36,11101010010110010111
193,11101011101111111100
194,11101011101111111101
207,11101011101111111110
210,11101011101111111111
37,111010100101100101110
49,111010100101100101111
190,111010111011111111010
202,111010111011111111011
215,111010111011111111110
266,111010111011111111111
50,1110101001011001011110
57,1110101001011001011111
187,1110101110111111110100
198,1110101110111111110101
216,1110101110111111110110
227,1110101110111111110111
265,1110101110111111111110
281,1110101110111111111111
157,11101011101111111101000
158,11101011101111111101001
199,11101011101111111101010
205,11101011101111111101011
221,11101011101111111101100
222,11101011101111111101101
159,111010111011111111010110
177,111010111011111111010111
228,111010111011111111011000
243,111010111011111111011001
139,1110101110111111110101100
806,1110101110111111110101101
229,1110101110111111110110000
244,1110101110111111110110001
248,1110101110111111110110010
270,1110101110111111110110011
140,11101011101111111101011010
166,11101011101111111101011011
279,11101011101111111101100110
290,11101011101111111101100111
128,111010111011111111010110100
129,111010111011111111010110101
267,111010111011111111011001100
268,111010111011111111011001101
304,111010111011111111011001110
310,111010111011111111011001111
123,1110101110111111110101101000
124,1110101110111111110101101001
262,1110101110111111110110011000
286,1110101110111111110110011001
298,1110101110111111110110011100
305,1110101110111111110110011101
115,11101011101111111101011010010
127,11101011101111111101011010011
257,11101011101111111101100110000
258,11101011101111111101100110001
299,11101011101111111101100111000
328,11101011101111111101100111001
306,11101011101111111101100111010
321,11101011101111111101100111011
236,111010111011111111011001100000
239,111010111011111111011001100001
300,111010111011111111011001110000
322,111010111011111111011001110001
343,111010111011111111011001110110
354,111010111011111111011001110111
217,1110101110111111110110011000000
223,1110101110111111110110011000001
344,1110101110111111110110011101100
364,1110101110111111110110011101101
355,1110101110111111110110011101110
374,1110101110111111110110011101111
206,11101011101111111101100110000000
211,11101011101111111101100110000001
372,11101011101111111101100111011010
373,11101011101111111101100111011011
346,11101011101111111101100111011100
359,11101011101111111101100111011101
195,111010111011111111011001100000000
196,111010111011111111011001100000001
377,111010111011111111011001110110100
406,111010111011111111011001110110101
332,111010111011111111011001110111000
367,111010111011111111011001110111001
188,1110101110111111110110011000000010
189,1110101110111111110110011000000011
381,1110101110111111110110011101101000
385,1110101110111111110110011101101001
407,1110101110111111110110011101101010
415,1110101110111111110110011101101011
308,1110101110111111110110011101110000
329,1110101110111111110110011101110001
185,11101011101111111101100110000000110
186,11101011101111111101100110000000111
393,11101011101111111101100111011010010
400,11101011101111111101100111011010011
416,11101011101111111101100111011010110
429,11101011101111111101100111011010111
301,11101011101111111101100111011100000
302,11101011101111111101100111011100001
169,111010111011111111011001100000001100
170,111010111011111111011001100000001101
382,111010111011111111011001110110100100
390,111010111011111111011001110110100101
427,111010111011111111011001110110100110
438,111010111011111111011001110110100111
417,111010111011111111011001110110101100
426,111010111011111111011001110110101101
430,111010111011111111011001110110101110
432,111010111011111111011001110110101111
271,111010111011111111011001110111000000
272,111010111011111111011001110111000001
273,111010111011111111011001110111000010
291,111010111011111111011001110111000011
134,1110101110111111110110011000000011000
135,1110101110111111110110011000000011001
167,1110101110111111110110011000000011010
183,1110101110111111110110011000000011011
352,1110101110111111110110011101101001000
353,1110101110111111110110011101101001001
389,1110101110111111110110011101101001010
467,1110101110111111110110011101101001011
431,1110101110111111110110011101101001100
448,1110101110111111110110011101101001101
441,1110101110111111110110011101101011110
517,1110101110111111110110011101101011111
218,1110101110111111110110011101110000010
219,1110101110111111110110011101110000011
261,1110101110111111110110011101110000100
263,1110101110111111110110011101110000101
118,11101011101111111101100110000000110000
119,11101011101111111101100110000000110001
136,11101011101111111101100110000000110100
145,11101011101111111101100110000000110101
174,11101011101111111101100110000000110110
184,11101011101111111101100110000000110111
319,11101011101111111101100111011010010010
320,11101011101111111101100111011010010011
464,11101011101111111101100111011010111100
805,11101011101111111101100111011010111101
527,11101011101111111101100111011010111110
562,11101011101111111101100111011010111111
100,111010111011111111011001100000001101000
104,111010111011111111011001100000001101001
146,111010111011111111011001100000001101010
147,111010111011111111011001100000001101011
152,111010111011111111011001100000001101100
171,111010111011111111011001100000001101101
307,111010111011111111011001110110100100100
331,111010111011111111011001110110100100101
442,111010111011111111011001110110101111010
450,111010111011111111011001110110101111011
526,111010111011111111011001110110101111100
547,111010111011111111011001110110101111101
89,1110101110111111110110011000000011010000
90,1110101110111111110110011000000011010001
116,1110101110111111110110011000000011010100
117,1110101110111111110110011000000011010101
172,1110101110111111110110011000000011011010
178,1110101110111111110110011000000011011011
296,1110101110111111110110011101101001001000
297,1110101110111111110110011101101001001001
451,1110101110111111110110011101101011110110
458,1110101110111111110110011101101011110111
574,1110101110111111110110011101101011111010
580,1110101110111111110110011101101011111011
114,11101011101111111101100110000000110101010
120,11101011101111111101100110000000110101011
155,11101011101111111101100110000000110110100
160,11101011101111111101100110000000110110101
179,11101011101111111101100110000000110110110
197,11101011101111111101100110000000110110111
459,11101011101111111101100111011010111101110
488,11101011101111111101100111011010111101111
576,11101011101111111101100111011010111110100
587,11101011101111111101100111011010111110101
76,111010111011111111011001100000001101010100
77,111010111011111111011001100000001101010101
112,111010111011111111011001100000001101010110
122,111010111011111111011001100000001101010111
168,111010111011111111011001100000001101101100
180,111010111011111111011001100000001101101101
443,111010111011111111011001110110101111011100
444,111010111011111111011001110110101111011101
489,111010111011111111011001110110101111011110
494,111010111011111111011001110110101111011111
590,111010111011111111011001110110101111101010
617,111010111011111111011001110110101111101011
105,1110101110111111110110011000000011010101100
106,1110101110111111110110011000000011010101101
163,1110101110111111110110011000000011011011000
803,1110101110111111110110011000000011011011001
401,1110101110111111110110011101101011110111010
402,1110101110111111110110011101101011110111011
501,1110101110111111110110011101101011110111110
507,1110101110111111110110011101101011110111111
591,1110101110111111110110011101101011111010100
622,1110101110111111110110011101101011111010101
79,11101011101111111101100110000000110101011000
80,11101011101111111101100110000000110101011001
161,11101011101111111101100110000000110110110010
162,11101011101111111101100110000000110110110011
386,11101011101111111101100111011010111101110100
387,11101011101111111101100111011010111101110101
394,11101011101111111101100111011010111101110110
421,11101011101111111101100111011010111101110111
511,11101011101111111101100111011010111101111100
577,11101011101111111101100111011010111101111101
518,11101011101111111101100111011010111101111110
557,11101011101111111101100111011010111101111111
628,11101011101111111101100111011010111110101010
638,11101011101111111101100111011010111110101011
72,111010111011111111011001100000001101010110010
73,111010111011111111011001100000001101010110011
153,111010111011111111011001100000001101101100110
164,111010111011111111011001100000001101101100111
384,111010111011111111011001110110101111011101100
391,111010111011111111011001110110101111011101101
512,111010111011111111011001110110101111011111000
528,111010111011111111011001110110101111011111001
583,111010111011111111011001110110101111011111010
584,111010111011111111011001110110101111011111011
581,111010111011111111011001110110101111011111110
801,111010111011111111011001110110101111011111111
632,111010111011111111011001110110101111101010100
660,111010111011111111011001110110101111101010101
58,1110101110111111110110011000000011010101100110
804,1110101110111111110110011000000011010101100111
148,1110101110111111110110011000000011011011001100
181,1110101110111111110110011000000011011011001101
348,1110101110111111110110011101101011110111011000
349,1110101110111111110110011101101011110111011001
392,1110101110111111110110011101101011110111011010
418,1110101110111111110110011101101011110111011011
476,1110101110111111110110011101101011110111110000
477,1110101110111111110110011101101011110111110001
529,1110101110111111110110011101101011110111110010
542,1110101110111111110110011101101011110111110011
588,1110101110111111110110011101101011110111110110
600,1110101110111111110110011101101011110111110111
556,1110101110111111110110011101101011110111111110
565,1110101110111111110110011101101011110111111111
633,1110101110111111110110011101101011111010101000
644,1110101110111111110110011101101011111010101001
668,1110101110111111110110011101101011111010101010
684,1110101110111111110110011101101011111010101011
59,11101011101111111101100110000000110101011001110
60,11101011101111111101100110000000110101011001111
141,11101011101111111101100110000000110110110011000
142,11101011101111111101100110000000110110110011001
347,11101011101111111101100111011010111101110110000
356,11101011101111111101100111011010111101110110001
408,11101011101111111101100111011010111101110110110
409,11101011101111111101100111011010111101110110111
543,11101011101111111101100111011010111101111100110
558,11101011101111111101100111011010111101111100111
645,11101011101111111101100111011010111110101010010
653,11101011101111111101100111011010111110101010011
680,11101011101111111101100111011010111110101010100
685,11101011101111111101100111011010111110101010101
51,111010111011111111011001100000001101010110011110
67,111010111011111111011001100000001101010110011111
143,111010111011111111011001100000001101101100110010
165,111010111011111111011001100000001101101100110011
311,111010111011111111011001110110101111011101100000
323,111010111011111111011001110110101111011101100001
368,111010111011111111011001110110101111011101101110
369,111010111011111111011001110110101111011101101111
538,111010111011111111011001110110101111011111001100
539,111010111011111111011001110110101111011111001101
563,111010111011111111011001110110101111011111001110
569,111010111011111111011001110110101111011111001111
661,111010111011111111011001110110101111101010100110
662,111010111011111111011001110110101111101010100111
52,1110101110111111110110011000000011010101100111100
61,1110101110111111110110011000000011010101100111101
132,1110101110111111110110011000000011011011001100100
133,1110101110111111110110011000000011011011001100101
173,1110101110111111110110011000000011011011001100110
182,1110101110111111110110011000000011011011001100111
287,1110101110111111110110011101101011110111011000000
288,1110101110111111110110011101101011110111011000001
324,1110101110111111110110011101101011110111011000010
330,1110101110111111110110011101101011110111011000011
535,1110101110111111110110011101101011110111110011010
559,1110101110111111110110011101101011110111110011011
611,1110101110111111110110011101101011110111110011100
658,1110101110111111110110011101101011110111110011101
656,1110101110111111110110011101101011111010101001100
663,1110101110111111110110011101101011111010101001101
666,1110101110111111110110011101101011111010101001110
694,1110101110111111110110011101101011111010101001111
26,11101011101111111101100110000000110101011001111000
27,11101011101111111101100110000000110101011001111001
62,11101011101111111101100110000000110101011001111010
