"","x"
"1",470
"2",480
"3",492
"4",499
"5",500
"6",501
"7",502
"8",503
"9",513
"10",514
"11",515
"12",527
"13",528
"14",539
"15",540
"16",548
"17",549
"18",550
"19",556
"20",557
"21",558
"22",559
"23",560
"24",569
"25",570
"26",571
"27",572
"28",573
"29",574
"30",577
"31",578
"32",581
"33",588
"34",589
"35",590
"36",591
"37",592
"38",593
"39",594
"40",596
"41",597
"42",598
"43",600
"44",605
"45",606
"46",607
"47",608
"48",609
"49",610
"50",611
"51",614
"52",615
"53",618
"54",622
"55",623
"56",624
"57",625
"58",626
"59",627
"60",628
"61",632
"62",635
"63",640
"64",641
"65",642
"66",643
"67",644
"68",645
"69",646
"70",647
"71",648
"72",649
"73",657
"74",660
"75",661
"76",662
"77",663
"78",664
"79",665
"80",666
"81",667
"82",668
"83",669
"84",670
"85",671
"86",672
"87",679
"88",680
"89",681
"90",682
"91",683
"92",684
"93",685
"94",686
"95",687
"96",688
"97",689
"98",690
"99",691
"100",692
"101",693
"102",694
"103",695
"104",701
"105",702
"106",703
"107",704
"108",705
"109",706
"110",707
"111",708
"112",709
"113",710
"114",711
"115",712
"116",713
"117",714
"118",720
"119",721
"120",722
"121",723
"122",724
"123",725
"124",726
"125",727
"126",728
"127",729
"128",732
"129",733
"130",734
"131",735
"132",736
"133",737
"134",738
"135",739
"136",740
"137",742
"138",743
"139",744
"140",745
"141",746
"142",747
"143",748
"144",749
"145",750
"146",751
"147",752
"148",753
"149",754
"150",755
"151",756
"152",757
"153",758
"154",759
"155",760
"156",761
"157",762
"158",763
"159",764
"160",765
"161",766
"162",767
"163",768
"164",769
"165",770
"166",771
"167",772
"168",773
"169",774
"170",775
"171",777
"172",779
"173",784
"174",785
"175",786
"176",787
"177",788
"178",789
"179",790
"180",791
"181",792
"182",793
"183",794
"184",795
"185",796
"186",800
"187",804
"188",805
"189",806
"190",807
"191",808
"192",809
"193",810
"194",811
"195",812
"196",813
"197",814
"198",819
"199",821
"200",822
"201",823
"202",824
"203",825
"204",826
"205",827
"206",828
"207",829
"208",830
"209",831
"210",832
"211",838
"212",839
"213",840
"214",841
"215",842
"216",843
"217",844
"218",845
"219",846
"220",847
"221",848
"222",851
"223",853
"224",854
"225",855
"226",856
"227",857
"228",858
"229",859
"230",860
"231",861
"232",862
"233",863
"234",864
"235",865
"236",866
"237",867
"238",868
"239",869
"240",870
"241",871
"242",872
"243",873
"244",874
"245",875
"246",876
"247",877
"248",878
"249",879
"250",880
"251",881
"252",882
"253",883
"254",884
"255",885
"256",886
"257",887
"258",888
"259",889
"260",890
"261",891
"262",892
"263",893
"264",894
"265",895
"266",896
"267",897
"268",898
"269",899
"270",900
"271",901
"272",902
"273",903
"274",904
"275",905
"276",906
"277",907
"278",908
"279",909
"280",910
"281",911
"282",912
"283",913
"284",914
"285",915
"286",916
"287",917
"288",918
"289",919
"290",920
"291",921
"292",922
"293",923
"294",924
"295",925
"296",926
"297",927
"298",928
"299",929
"300",930
"301",931
"302",932
"303",933
"304",934
"305",935
"306",936
"307",937
"308",942
"309",943
"310",944
"311",945
"312",946
"313",947
"314",948
"315",949
"316",950
"317",951
"318",952
"319",953
"320",954
"321",955
"322",956
"323",957
"324",958
"325",959
"326",960
"327",961
"328",962
"329",963
"330",964
"331",965
"332",966
"333",967
"334",968
"335",969
"336",970
"337",971
"338",972
"339",973
"340",974
"341",975
"342",976
"343",977
"344",978
"345",979
"346",980
"347",981
"348",982
"349",983
"350",984
"351",985
"352",986
"353",987
"354",988
"355",989
"356",990
"357",991
"358",992
"359",993
"360",994
"361",995
"362",996
"363",997
"364",998
"365",999
"366",1000
"367",1001
"368",1002
"369",1003
"370",1004
"371",1005
"372",1006
"373",1007
"374",1008
"375",1009
"376",1010
"377",1011
"378",1012
"379",1013
"380",1014
"381",1015
"382",1016
"383",1017
"384",1018
"385",1019
"386",1020
"387",1021
"388",1022
"389",1023
"390",1024
"391",1025
"392",1026
"393",1027
"394",1028
"395",1029
"396",1030
"397",1031
"398",1032
"399",1033
"400",1034
"401",1035
"402",1036
"403",1037
"404",1038
"405",1039
"406",1040
"407",1041
"408",1042
"409",1043
"410",1044
"411",1045
"412",1046
"413",1047
"414",1048
"415",1049
"416",1050
"417",1051
"418",1052
"419",1053
"420",1054
"421",1055
"422",1056
"423",1057
"424",1058
"425",1059
"426",1060
"427",1061
"428",1062
"429",1063
"430",1064
"431",1065
"432",1066
"433",1067
"434",1068
"435",1069
"436",1070
"437",1071
"438",1072
"439",1073
"440",1074
"441",1075
"442",1076
"443",1077
"444",1078
"445",1079
"446",1080
"447",1081
"448",1082
"449",1083
"450",1084
"451",1085
"452",1086
"453",1087
"454",1088
"455",1089
"456",1090
"457",1091
"458",1092
"459",1093
"460",1094
"461",1095
"462",1096
"463",1097
"464",1098
"465",1099
"466",1100
"467",1101
"468",1102
"469",1103
"470",1104
"471",1105
"472",1106
"473",1107
"474",1108
"475",1109
"476",1110
"477",1111
"478",1112
"479",1113
"480",1114
"481",1115
"482",1116
"483",1117
"484",1118
"485",1119
"486",1120
"487",1121
"488",1122
"489",1123
"490",1124
"491",1125
"492",1126
"493",1127
"494",1128
"495",1129
"496",1130
"497",1131
"498",1132
"499",1133
"500",1134
"501",1135
"502",1136
"503",1137
"504",1147
"505",1148
"506",1149
"507",1150
"508",1153
"509",1154
"510",1155
"511",1156
"512",1157
"513",1158
"514",1159
"515",1160
"516",1161
"517",1162
"518",1163
"519",1164
"520",1165
"521",1166
"522",1167
"523",1168
"524",1169
"525",1170
"526",1171
"527",1172
"528",1181
"529",1182
"530",1183
"531",1184
"532",1185
"533",1186
"534",1187
"535",1188
"536",1190
"537",1191
"538",1192
"539",1193
"540",1194
"541",1195
"542",1196
"543",1197
"544",1198
"545",1199
"546",1200
"547",1201
"548",1202
"549",1203
"550",1207
"551",1208
"552",1209
"553",1210
"554",1211
"555",1212
"556",1217
"557",1218
"558",1219
