"","x"
"1",54
"2",55
"3",56
"4",365
"5",57
"6",366
"7",58
"8",567
"9",367
"10",558
"11",59
"12",815
"13",368
"14",573
"15",557
"16",60
"17",566
"18",369
"19",574
"20",594
"21",61
"22",96
"23",62
"24",620
"25",97
"26",63
"27",657
"28",621
"29",624
"30",98
"31",64
"32",665
"33",669
"34",640
"35",627
"36",99
"37",65
"38",645
"39",652
"40",100
"41",198
"42",66
"43",668
"44",101
"45",199
"46",67
"47",102
"48",595
"49",200
"50",68
"51",103
"52",201
"53",576
"54",69
"55",104
"56",202
"57",584
"58",553
"59",554
"60",70
"61",105
"62",636
"63",203
"64",568
"65",537
"66",538
"67",874
"68",71
"69",673
"70",106
"71",204
"72",540
"73",569
"74",581
"75",873
"76",72
"77",675
"78",686
"79",107
"80",205
"81",209
"82",802
"83",586
"84",593
"85",73
"86",685
"87",689
"88",108
"89",660
"90",206
"91",210
"92",214
"93",541
"94",74
"95",694
"96",109
"97",629
"98",207
"99",798
"100",211
"101",511
"102",215
"103",493
"104",803
"105",75
"106",699
"107",110
"108",622
"109",208
"110",799
"111",524
"112",212
"113",216
"114",247
"115",547
"116",76
"117",707
"118",111
"119",115
"120",539
"121",532
"122",213
"123",794
"124",217
"125",494
"126",248
"127",811
"128",77
"129",687
"130",112
"131",116
"132",611
"133",536
"134",543
"135",514
"136",500
"137",218
"138",476
"139",249
"140",78
"141",688
"142",113
"143",117
"144",644
"145",804
"146",806
"147",517
"148",518
"149",219
"150",234
"151",250
"152",79
"153",690
"154",114
"155",118
"156",601
"157",880
"158",220
"159",224
"160",235
"161",479
"162",251
"163",80
"164",715
"165",119
"166",129
"167",599
"168",600
"169",649
"170",221
"171",225
"172",489
"173",236
"174",477
"175",81
"176",711
"177",120
"178",633
"179",130
"180",583
"181",589
"182",590
"183",222
"184",226
"185",791
"186",237
"187",243
"188",779
"189",82
"190",716
"191",121
"192",643
"193",131
"194",575
"195",223
"196",227
"197",490
"198",238
"199",496
"200",244
"201",480
"202",475
"203",83
"204",705
"205",718
"206",721
"207",122
"208",663
"209",132
"210",572
"211",228
"212",495
"213",497
"214",239
"215",498
"216",245
"217",482
"218",84
"219",723
"220",700
"221",703
"222",123
"223",650
"224",133
"225",612
"226",559
"227",560
"228",229
"229",792
"230",240
"231",492
"232",246
"233",785
"234",85
"235",724
"236",852
"237",855
"238",124
"239",674
"240",134
"241",182
"242",881
"243",230
"244",241
"245",505
"246",790
"247",483
"248",86
"249",726
"250",125
"251",679
"252",677
"253",684
"254",135
"255",603
"256",183
"257",195
"258",618
"259",231
"260",242
"261",499
"262",506
"263",509
"264",786
"265",87
"266",725
"267",126
"268",693
"269",671
"270",680
"271",845
"272",846
"273",136
"274",602
"275",184
"276",544
"277",196
"278",232
"279",501
"280",879
"281",88
"282",720
"283",728
"284",730
"285",127
"286",691
"287",695
"288",698
"289",843
"290",844
"291",137
"292",145
"293",822
"294",185
"295",550
"296",546
"297",197
"298",233
"299",512
"300",89
"301",719
"302",713
"303",714
"304",128
"305",692
"306",851
"307",849
"308",853
"309",138
"310",619
"311",146
"312",174
"313",579
"314",186
"315",527
"316",809
"317",90
"318",729
"319",857
"320",860
"321",847
"322",848
"323",139
"324",834
"325",147
"326",655
"327",175
"328",609
"329",823
"330",187
"331",525
"332",878
"333",563
"334",91
"335",727
"336",710
"337",696
"338",140
"339",617
"340",148
"341",840
"342",176
"343",626
"344",831
"345",188
"346",526
"347",814
"348",92
"349",722
"350",856
"351",850
"352",141
"353",835
"354",149
"355",666
"356",654
"357",177
"358",616
"359",588
"360",189
"361",528
"362",93
"363",717
"364",697
"365",142
"366",838
"367",623
"368",150
"369",152
"370",841
"371",178
"372",625
"373",828
"374",190
"375",534
"376",520
"377",521
"378",94
"379",712
"380",854
"381",143
"382",638
"383",836
"384",151
"385",153
"386",179
"387",591
"388",837
"389",191
"390",533
"391",885
"392",95
"393",704
"394",708
"395",709
"396",706
"397",144
"398",839
"399",670
"400",154
"401",656
"402",180
"403",578
"404",882
"405",192
"406",548
"407",549
"408",516
"409",701
"410",702
"411",859
"412",858
"413",842
"414",155
"415",641
"416",642
"417",181
"418",818
"419",825
"420",826
"421",193
"422",805
"423",551
"424",555
"425",156
"426",571
"427",580
"428",582
"429",194
"430",807
"431",542
"432",813
"433",812
"434",157
"435",681
"436",820
"437",821
"438",562
"439",552
"440",801
"441",564
"442",158
"443",662
"444",565
"445",577
"446",810
"447",535
"448",816
"449",159
"450",678
"451",817
"452",556
"453",800
"454",160
"455",659
"456",808
"457",545
"458",161
"459",167
"460",561
"461",162
"462",683
"463",168
"464",630
"465",163
"466",672
"467",169
"468",607
"469",833
"470",164
"471",170
"472",604
"473",608
"474",165
"475",171
"476",614
"477",824
"478",605
"479",606
"480",166
"481",172
"482",592
"483",832
"484",648
"485",173
"486",613
"487",827
"488",585
