"","x"
"1",0
"2",1
"3",2
"4",3
"5",4
"6",5
"7",6
"8",7
"9",8
"10",9
"11",10
"12",11
"13",12
"14",13
"15",14
"16",15
"17",16
"18",17
"19",18
"20",19
"21",20
"22",21
"23",22
"24",23
"25",24
"26",25
"27",26
"28",27
"29",28
"30",29
"31",30
"32",31
"33",32
"34",33
"35",34
"36",35
"37",36
"38",37
"39",38
"40",39
"41",40
"42",41
"43",42
"44",43
"45",44
"46",45
"47",46
"48",47
"49",48
"50",49
"51",50
"52",51
"53",52
"54",53
"55",252
"56",253
"57",254
"58",255
"59",256
"60",257
"61",258
"62",259
"63",260
"64",261
"65",262
"66",263
"67",264
"68",265
"69",266
"70",267
"71",268
"72",269
"73",270
"74",271
"75",272
"76",273
"77",274
"78",275
"79",276
"80",277
"81",278
"82",279
"83",280
"84",281
"85",282
"86",283
"87",284
"88",285
"89",286
"90",287
"91",288
"92",289
"93",290
"94",291
"95",292
"96",293
"97",294
"98",295
"99",296
"100",297
"101",298
"102",299
"103",300
"104",301
"105",302
"106",303
"107",304
"108",305
"109",306
"110",307
"111",308
"112",309
"113",310
"114",311
"115",312
"116",313
"117",314
"118",315
"119",316
"120",317
"121",318
"122",319
"123",320
"124",321
"125",322
"126",323
"127",324
"128",325
"129",326
"130",327
"131",328
"132",329
"133",330
"134",331
"135",332
"136",333
"137",334
"138",335
"139",336
"140",337
"141",338
"142",339
"143",340
"144",341
"145",342
"146",343
"147",344
"148",345
"149",346
"150",347
"151",348
"152",349
"153",350
"154",351
"155",352
"156",353
"157",354
"158",355
"159",356
"160",357
"161",358
"162",359
"163",360
"164",361
"165",362
"166",363
"167",364
"168",370
"169",371
"170",372
"171",373
"172",374
"173",375
"174",376
"175",377
"176",378
"177",379
"178",380
"179",381
"180",382
"181",383
"182",384
"183",385
"184",386
"185",387
"186",388
"187",389
"188",390
"189",391
"190",392
"191",393
"192",394
"193",395
"194",396
"195",397
"196",398
"197",399
"198",400
"199",401
"200",402
"201",403
"202",404
"203",405
"204",406
"205",407
"206",408
"207",409
"208",410
"209",411
"210",412
"211",413
"212",414
"213",415
"214",416
"215",417
"216",418
"217",419
"218",420
"219",421
"220",422
"221",423
"222",424
"223",425
"224",426
"225",427
"226",428
"227",429
"228",430
"229",431
"230",432
"231",433
"232",434
"233",435
"234",436
"235",437
"236",438
"237",439
"238",440
"239",441
"240",442
"241",443
"242",444
"243",445
"244",446
"245",447
"246",448
"247",449
"248",450
"249",451
"250",452
"251",453
"252",454
"253",455
"254",456
"255",457
"256",458
"257",459
"258",460
"259",461
"260",462
"261",463
"262",464
"263",465
"264",466
"265",467
"266",468
"267",469
"268",470
"269",471
"270",472
"271",473
"272",474
"273",478
"274",481
"275",484
"276",485
"277",486
"278",487
"279",488
"280",491
"281",502
"282",503
"283",504
"284",507
"285",508
"286",510
"287",513
"288",515
"289",519
"290",522
"291",523
"292",529
"293",530
"294",531
"295",570
"296",587
"297",596
"298",597
"299",598
"300",610
"301",615
"302",628
"303",631
"304",632
"305",634
"306",635
"307",637
"308",639
"309",646
"310",647
"311",651
"312",653
"313",658
"314",661
"315",664
"316",667
"317",676
"318",682
"319",731
"320",732
"321",733
"322",734
"323",735
"324",736
"325",737
"326",738
"327",739
"328",740
"329",741
"330",742
"331",743
"332",744
"333",745
"334",746
"335",747
"336",748
"337",749
"338",750
"339",751
"340",752
"341",753
"342",754
"343",755
"344",756
"345",757
"346",758
"347",759
"348",760
"349",761
"350",762
"351",763
"352",764
"353",765
"354",766
"355",767
"356",768
"357",769
"358",770
"359",771
"360",772
"361",773
"362",774
"363",775
"364",776
"365",777
"366",778
"367",780
"368",781
"369",782
"370",783
"371",784
"372",787
"373",788
"374",789
"375",793
"376",795
"377",796
"378",797
"379",819
"380",829
"381",830
"382",861
"383",862
"384",863
"385",864
"386",865
"387",866
"388",867
"389",868
"390",869
"391",870
"392",871
"393",872
"394",875
"395",876
"396",877
"397",883
"398",884
"399",886
"400",887
